Sample date,Weather,Location,Site Reference,Temperature,pH ,Conductivity,Dissolved Oxygen,Turburdity,Nitrite ,Nitrate ,Total Coliforms ,E-Coli,Faecal Streptococci,Ammonium as NH4 ,B.O.D ,C.O.D. ,Phosphate mg/l,Salinity (ppt)
1996/06/26,,Vale Lane - opposite,5x,14.6,7.5,930,56,29,,1.7,40000,800,,,2,,,
1996/06/26,,Manor Wood,6,14.7,7.7,685,63,5,,5,220000,40000,,,2,,,
1996/06/26,,Gas works at Malago Vale,7,14.6,7.7,900,58,2,,0.65,10000,800,,,2,,,
1996/06/27,,Ashton vale,4,14.2,8.2,1123,49,19,,0.53,1600000,1100000,,,5,13,,
1996/06/27,,St Georges Park Lake,11,20.3,8.6,709,49,47,,0.068,760000,540000,,,13,,,
1996/06/27,,Eastville Park Lake,13,21.3,7.7,759,49,16,,0.09,160000,6800,,,7,,,
1996/06/27,,Allison Road,9,15,8.3,748,68,18,,0.5,4800000,4000000,,,5,,,
1996/06/27,,Lynet Way,8,14.4,8.6,782,63,19,,0.5,7500000,3200000,,,10,,,
1996/06/27,,Dubbers Lane,12,13.5,7.7,2240,46,33,,0.024,8000000,4000000,,,7,31,,
1996/06/27,,Snuff Mills,14,15,8.2,804,76,23,,0.6,320000,180000,,,2,,,
1996/06/27,,Mina Park ,15,13.9,8.1,1036,71,38,,0.53,1200000,280000,,,2,,,
1996/06/27,,Conham Vale,16,18.3,8.5,735,89,24,,11.6,660000,79000,,,7,,,
1996/07/30,,Avonmouth Rhine,1,19.9,7.1,1810,8,48,,0.05,1200,600,,,14,,,
1996/07/30,,Trowbridge Road,2,18.4,7.2,830,52,15,,1.7,240000,15000,,,9,,,
1996/07/30,,Coombe Dingle,3,17,,100,66,100,,,180000,4400,,,2,,,
1996/07/30,,Ashton vale,4,17.8,7.1,1140,31,29,,1.7,140000,4600,,,4,26,,
1996/07/30,,Hartcliffe Way,5,17.6,7.1,700,67,2,,1.2,7000,1000,,,3,,,
1996/07/30,,Vale Lane - opposite,5x,16.8,7.1,920,41,4,,1.7,140000,8000,,,2,,,
1996/07/30,,Manor Wood,6,16.8,7.2,760,62,13,,2,860000,160000,,,3,,,
1996/07/30,,Gas works at Malago Vale,7,17,7.1,960,53,30,,1.7,13000,2000,,,4,,,
1996/07/31,,St Georges Park Lake,11,20.6,8.1,760,62,190,,0.15,7400,5800,,,27,,,
1996/07/31,,Eastville Park Lake,13,21.6,7.9,760,132,90,,0.32,6200,3800,,,6,,,
1996/07/31,,Allison Road,9,17.6,7.4,590,76,31,,0.51,380000,80000,,,2,,,
1996/07/31,,Lynet Way,8,17.2,7.1,720,71,50,,1.1,2100000,280000,,,7,,,
1996/07/31,,Dubbers Lane,12,15.4,8.1,1990,57,77,,1.9,1200000,440000,,,5,30,,
1996/07/31,,Snuff Mills,14,17.6,7.4,600,83,30,,0.55,5800,3000,,,2,,,
1996/07/31,,Mina Park ,15,15.8,7,880,68,78,,0.89,60000,40000,,,2,,,
1996/07/31,,Conham Vale,16,20.2,7.4,840,59,64,,1.1,80000,11000,,,3,,,
1996/08/21,,Avonmouth Rhine,1,20.4,7,,12,48,,0.07,200,200,,,9,,,
1996/08/21,,Trowbridge Road,2,16.4,7.2,900,46,27,,0.58,2400000,220000,,,9,,,
1996/08/21,,Coombe Dingle,3,15.6,,85,65,85,,,11000,7600,,,2,,,
1996/08/21,,Ashton vale,4,16.8,7.2,1210,30,50,,1.3,940000,3200,,,9,31,,
1996/08/21,,Hartcliffe Way,5,17.6,7.2,720,70,17,,0.55,5200,1800,,,2,,,
